date,state,positive,negative,pending,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently
2021-03-07,AK,56886.0,,,33.0,1293.0,,,2.0
2021-03-07,AL,499819.0,1931711.0,,494.0,45976.0,,2676.0,
2021-03-07,AR,324818.0,2480716.0,,335.0,14926.0,141.0,,65.0
2021-03-07,AS,0.0,2140.0,,,,,,
2021-03-07,AZ,826454.0,3073010.0,,963.0,57907.0,273.0,,143.0
2021-03-07,CA,3501394.0,,,4291.0,,1159.0,,
2021-03-07,CO,436602.0,2199458.0,,326.0,23904.0,,,
2021-03-07,CT,285330.0,,,428.0,,,,
2021-03-07,DC,41419.0,,,150.0,,38.0,,16.0
2021-03-07,DE,88354.0,545070.0,,104.0,,13.0,,
2021-03-07,FL,1909209.0,9339038.0,8544.0,3307.0,82237.0,,,
2021-03-07,GA,1023487.0,,,2008.0,56797.0,,9263.0,
2021-03-07,GU,7749.0,112887.0,,2.0,,1.0,,1.0
2021-03-07,HI,28699.0,,,27.0,2226.0,5.0,,3.0
2021-03-07,HI,28699.0,,,27.0,2226.0,5.0,,3.0
2021-03-07,IA,282384.0,1044418.0,,167.0,,35.0,,6.0
2021-03-07,ID,172931.0,505964.0,,150.0,7184.0,33.0,1245.0,
2021-03-07,IL,1198335.0,,,1141.0,,255.0,,112.0
2021-03-07,IN,667262.0,2483156.0,,656.0,43217.0,104.0,7600.0,50.0
2021-03-07,KS,295861.0,974686.0,,235.0,9387.0,50.0,2554.0,22.0
2021-03-07,KY,410709.0,,,558.0,19457.0,156.0,4034.0,82.0
2021-03-07,LA,433785.0,5261679.0,,532.0,,,,75.0
2021-03-07,MA,591356.0,4404792.0,,665.0,19713.0,174.0,,116.0
2021-03-07,MD,387319.0,3034546.0,,818.0,35651.0,215.0,,
2021-03-07,ME,45794.0,,,67.0,1570.0,16.0,,8.0
2021-03-07,MI,656072.0,,,866.0,,222.0,,97.0
2021-03-07,MI,656072.0,,,866.0,,222.0,,97.0
2021-03-07,MN,490011.0,3058514.0,,224.0,25978.0,57.0,5364.0,
2021-03-07,MO,480643.0,1878583.0,,955.0,,197.0,,135.0
2021-03-07,MP,145.0,17429.0,,,4.0,,,
2021-03-07,MS,297581.0,1459374.0,,419.0,9162.0,89.0,,47.0
2021-03-07,MT,100914.0,,,63.0,4630.0,12.0,,6.0
2021-03-07,NC,872176.0,,,1179.0,,309.0,,
2021-03-07,ND,100391.0,305912.0,,23.0,3880.0,3.0,567.0,
2021-03-07,NE,203026.0,771128.0,,137.0,6237.0,,,
2021-03-07,NH,76861.0,579582.0,,68.0,1131.0,,348.0,
2021-03-07,NJ,812609.0,10186941.0,,1792.0,64396.0,376.0,,232.0
2021-03-07,NM,186922.0,,,169.0,13252.0,,,
2021-03-07,NV,296190.0,1131758.0,,399.0,,87.0,,48.0
2021-03-07,NY,1681169.0,,,4789.0,,999.0,,682.0
2021-03-07,OH,978471.0,,,820.0,50881.0,260.0,7207.0,171.0
2021-03-07,OK,428997.0,3146300.0,2984.0,346.0,24332.0,100.0,,
2021-03-07,OR,157079.0,,,158.0,8714.0,32.0,,12.0
2021-03-07,PA,948643.0,3942124.0,,1587.0,,314.0,,183.0
2021-03-07,PA,948643.0,3942124.0,,1587.0,,314.0,,183.0
2021-03-07,PR,101632.0,305972.0,,134.0,,21.0,,19.0
2021-03-07,RI,128781.0,677570.0,,141.0,9020.0,25.0,,16.0
2021-03-07,SC,525865.0,4657179.0,,579.0,20725.0,137.0,,83.0
2021-03-07,SD,113589.0,314540.0,,72.0,6705.0,9.0,,6.0
2021-03-07,TN,782206.0,,,851.0,18870.0,218.0,,127.0
2021-03-07,TX,2686818.0,,,4721.0,,1463.0,,
2021-03-07,UT,374850.0,1560293.0,,212.0,14891.0,73.0,2344.0,
2021-03-07,VA,585700.0,,169.0,1127.0,24661.0,258.0,,168.0
2021-03-07,VI,2714.0,46167.0,80.0,,,,,
2021-03-07,VT,16083.0,320060.0,,31.0,,1.0,,
2021-03-07,WA,344532.0,,,431.0,19599.0,98.0,,43.0
2021-03-07,WI,621654.0,2647864.0,31.0,249.0,26457.0,66.0,2273.0,
2021-03-07,WI,621654.0,2647864.0,31.0,249.0,26457.0,66.0,2273.0,
2021-03-07,WV,133445.0,,,179.0,,40.0,,26.0
2021-03-07,WY,54764.0,182264.0,,21.0,1391.0,,,
2021-03-06,AK,56886.0,,,33.0,1293.0,,,2.0
2021-03-06,AL,499411.0,1929624.0,,526.0,45976.0,,2675.0,
2021-03-06,AR,324653.0,2477449.0,,345.0,14915.0,148.0,,75.0
2021-03-06,AS,0.0,2140.0,,,,,,
2021-03-06,AZ,825119.0,3059332.0,,966.0,57863.0,280.0,,140.0
2021-03-06,CA,3497578.0,,,4513.0,,1221.0,,
2021-03-06,CO,435762.0,2199458.0,,326.0,23886.0,,,
2021-03-06,CT,285330.0,,,428.0,,,,
2021-03-06,DC,41273.0,,,150.0,,40.0,,15.0
2021-03-06,DE,88139.0,544153.0,,114.0,,12.0,,
2021-03-06,FL,1905185.0,9319872.0,8496.0,3352.0,82145.0,,,
2021-03-06,GA,1021778.0,,,2071.0,56762.0,,9260.0,
2021-03-06,GU,7749.0,112887.0,,2.0,,1.0,,1.0
2021-03-06,HI,28646.0,,,27.0,2226.0,5.0,,3.0
2021-03-06,HI,28646.0,,,27.0,2226.0,5.0,,3.0
2021-03-06,IA,282127.0,1043119.0,,170.0,,38.0,,10.0
2021-03-06,ID,172827.0,505429.0,,150.0,7179.0,33.0,1245.0,
2021-03-06,IL,1197267.0,,,1210.0,,261.0,,108.0
2021-03-06,IN,666516.0,2478513.0,,663.0,43153.0,118.0,7586.0,60.0
2021-03-06,KS,295861.0,974686.0,,235.0,9387.0,50.0,2554.0,22.0
2021-03-06,KY,410184.0,,,591.0,19451.0,171.0,4034.0,72.0
2021-03-06,LA,433045.0,5241101.0,,538.0,,,,77.0
2021-03-06,MA,589931.0,4396764.0,,687.0,19713.0,176.0,,114.0
2021-03-06,MD,386610.0,3032496.0,,830.0,35572.0,230.0,,
2021-03-06,ME,45635.0,,,74.0,1566.0,20.0,,9.0
2021-03-06,MI,656072.0,,,866.0,,222.0,,97.0
2021-03-06,MI,656072.0,,,866.0,,222.0,,97.0
2021-03-06,MN,489116.0,3050296.0,,224.0,25976.0,57.0,5364.0,
2021-03-06,MO,480352.0,1875633.0,,1001.0,,198.0,,136.0
2021-03-06,MP,144.0,17429.0,,,4.0,,,
2021-03-06,MS,297321.0,1459374.0,,419.0,9162.0,89.0,,47.0
2021-03-06,MT,100842.0,,,63.0,4629.0,12.0,,6.0
2021-03-06,NC,872176.0,,,1179.0,,309.0,,
2021-03-06,ND,100357.0,306021.0,,21.0,3878.0,3.0,567.0,
2021-03-06,NE,202653.0,770586.0,,136.0,6229.0,,,
2021-03-06,NH,76695.0,579186.0,,90.0,1127.0,,348.0,
2021-03-06,NJ,810090.0,10186941.0,,1862.0,64338.0,382.0,,233.0
2021-03-06,NM,186742.0,,,148.0,13242.0,,,
2021-03-06,NV,295460.0,1129929.0,,399.0,,87.0,,48.0
2021-03-06,NY,1674380.0,,,4954.0,,1012.0,,694.0
2021-03-06,OH,977736.0,,,922.0,50848.0,273.0,7205.0,188.0
2021-03-06,OK,428536.0,3146300.0,2984.0,346.0,24277.0,100.0,,
2021-03-06,OR,156884.0,,,158.0,8714.0,32.0,,12.0
2021-03-06,PA,946985.0,3935532.0,,1513.0,,314.0,,171.0
2021-03-06,PA,946985.0,3935532.0,,1513.0,,314.0,,171.0
2021-03-06,PR,101327.0,305972.0,,147.0,,24.0,,18.0
2021-03-06,RI,128516.0,676149.0,,141.0,9020.0,25.0,,16.0
2021-03-06,SC,524457.0,4631323.0,,623.0,20659.0,157.0,,86.0
2021-03-06,SD,113378.0,314016.0,,74.0,6692.0,10.0,,7.0
2021-03-06,TN,782206.0,,,879.0,18870.0,223.0,,127.0
2021-03-06,TX,2683865.0,,,4921.0,,1503.0,,
2021-03-06,UT,374438.0,1557089.0,,216.0,14867.0,77.0,2344.0,
2021-03-06,VA,584537.0,,187.0,1164.0,24637.0,263.0,,160.0
2021-03-06,VI,2714.0,46167.0,80.0,,,,,
2021-03-06,VT,15964.0,319417.0,,26.0,,2.0,,
2021-03-06,WA,343868.0,,,431.0,19556.0,98.0,,30.0
2021-03-06,WI,621277.0,2644343.0,36.0,260.0,26432.0,77.0,2271.0,
2021-03-06,WI,621277.0,2644343.0,36.0,260.0,26432.0,77.0,2271.0,
2021-03-06,WV,133290.0,,,196.0,,56.0,,27.0
2021-03-06,WY,54764.0,182264.0,,21.0,1391.0,,,
2021-03-05,AK,56886.0,,,33.0,1293.0,,,2.0
2021-03-05,AL,498887.0,1924758.0,,526.0,45976.0,,2672.0,
2021-03-05,AR,324326.0,2472738.0,,359.0,14903.0,153.0,,86.0
2021-03-05,AS,0.0,2140.0,,,,,,
2021-03-05,AZ,823384.0,3050890.0,,1043.0,57819.0,325.0,,154.0
2021-03-05,CA,3493126.0,,,4714.0,,1236.0,,
2021-03-05,CO,434654.0,2193953.0,,356.0,23863.0,,,
2021-03-05,CT,285330.0,,,428.0,,,,
2021-03-05,DC,41122.0,,,160.0,,45.0,,19.0
2021-03-05,DE,87874.0,542791.0,,127.0,,15.0,,
2021-03-05,FL,1900598.0,9296590.0,8453.0,3419.0,81902.0,,,
2021-03-05,GA,1019509.0,,,2099.0,56627.0,,9236.0,
2021-03-05,GU,7748.0,112887.0,,2.0,,1.0,,1.0
2021-03-05,HI,28561.0,,,28.0,2225.0,5.0,,3.0
2021-03-05,HI,28561.0,,,28.0,2225.0,5.0,,3.0
2021-03-05,IA,281765.0,1041604.0,,176.0,,39.0,,9.0
2021-03-05,ID,172587.0,504925.0,,139.0,7164.0,32.0,1242.0,
2021-03-05,IL,1194702.0,,,1166.0,,263.0,,121.0
2021-03-05,IN,665285.0,2473358.0,,730.0,43104.0,123.0,7588.0,64.0
2021-03-05,KS,295861.0,974686.0,,235.0,9387.0,50.0,2554.0,22.0
2021-03-05,KY,409345.0,,,606.0,19380.0,179.0,4023.0,76.0
2021-03-05,LA,433045.0,5241101.0,,538.0,,,,77.0
2021-03-05,MA,588209.0,4388938.0,,716.0,19713.0,180.0,,109.0
2021-03-05,MD,385678.0,3024949.0,,849.0,35378.0,229.0,,
2021-03-05,ME,45452.0,,,74.0,1560.0,27.0,,10.0
2021-03-05,MI,654380.0,,,866.0,,222.0,,97.0
2021-03-05,MI,654380.0,,,866.0,,222.0,,97.0
2021-03-05,MN,488170.0,3043308.0,,224.0,25938.0,57.0,5352.0,
2021-03-05,MO,479966.0,1872325.0,,1019.0,,202.0,,135.0
2021-03-05,MP,144.0,17429.0,,,4.0,,,
2021-03-05,MS,296745.0,1459374.0,,445.0,9162.0,99.0,,53.0
2021-03-05,MT,100656.0,,,67.0,4610.0,12.0,,7.0
2021-03-05,NC,870149.0,,,1226.0,,314.0,,
2021-03-05,ND,100278.0,305910.0,,22.0,3875.0,3.0,567.0,
2021-03-05,NE,202310.0,769232.0,,143.0,6226.0,,,
2021-03-05,NH,76422.0,577690.0,,90.0,1126.0,,348.0,
2021-03-05,NJ,806370.0,10186941.0,,1881.0,65254.0,389.0,,223.0
2021-03-05,NM,186460.0,,,183.0,13229.0,,,
2021-03-05,NV,295460.0,1127378.0,,393.0,,88.0,,49.0
2021-03-05,NY,1666733.0,,,5034.0,,1030.0,,700.0
2021-03-05,OH,976230.0,,,919.0,50782.0,266.0,7184.0,185.0
2021-03-05,OK,427558.0,3135060.0,3464.0,366.0,24157.0,109.0,,
2021-03-05,OR,156673.0,,,154.0,8699.0,30.0,,14.0
2021-03-05,PA,944196.0,3926038.0,,1587.0,,325.0,,173.0
2021-03-05,PA,944196.0,3926038.0,,1587.0,,325.0,,173.0
2021-03-05,PR,101066.0,305972.0,,136.0,,23.0,,18.0
2021-03-05,RI,128121.0,674515.0,,141.0,9020.0,25.0,,16.0
2021-03-05,SC,523258.0,4603549.0,,664.0,20605.0,163.0,,88.0
2021-03-05,SD,113229.0,313260.0,,74.0,6681.0,16.0,,8.0
2021-03-05,TN,780894.0,,,939.0,18837.0,246.0,,135.0
2021-03-05,TX,2678295.0,,,5065.0,,1530.0,,
2021-03-05,UT,373868.0,1553533.0,,238.0,14841.0,85.0,2339.0,
2021-03-05,VA,583060.0,,180.0,1222.0,24514.0,254.0,,150.0
2021-03-05,VI,2714.0,46167.0,80.0,,,,,
2021-03-05,VT,15819.0,318720.0,,26.0,,4.0,,
2021-03-05,WA,343090.0,,,413.0,19500.0,108.0,,57.0
2021-03-05,WI,620663.0,2642182.0,36.0,260.0,26387.0,77.0,2268.0,
2021-03-05,WI,620663.0,2642182.0,36.0,260.0,26387.0,77.0,2268.0,
2021-03-05,WV,132964.0,,,200.0,,55.0,,28.0
2021-03-05,WY,54764.0,182264.0,,21.0,1391.0,,,
2021-03-04,AK,56745.0,,,32.0,1290.0,,,2.0
2021-03-04,AL,498076.0,1920535.0,,544.0,45807.0,,2666.0,
2021-03-04,AR,323756.0,2464286.0,,397.0,14876.0,165.0,,91.0
2021-03-04,AS,0.0,2140.0,,,,,,
2021-03-04,AZ,821108.0,3032112.0,,1072.0,57747.0,343.0,,165.0
2021-03-04,CA,3488467.0,,,4967.0,,1327.0,,
2021-03-04,CO,433021.0,2188741.0,,355.0,23791.0,,,
2021-03-04,CT,284500.0,,,433.0,,,,
2021-03-04,DC,41014.0,,,170.0,,49.0,,18.0
2021-03-04,DE,87643.0,541771.0,,130.0,,18.0,,
2021-03-04,FL,1894722.0,9269680.0,8435.0,3566.0,81600.0,,,
2021-03-04,GA,1017428.0,,,2191.0,56512.0,,9221.0,
2021-03-04,GU,7747.0,112349.0,,5.0,,1.0,,1.0
2021-03-04,HI,28466.0,,,28.0,2225.0,5.0,,3.0
2021-03-04,HI,28466.0,,,28.0,2225.0,5.0,,3.0
2021-03-04,IA,281391.0,1040055.0,,184.0,,39.0,,11.0
2021-03-04,ID,172288.0,503691.0,,139.0,7144.0,32.0,1241.0,
2021-03-04,IL,1193260.0,,,1200.0,,260.0,,128.0
2021-03-04,IN,664446.0,2468877.0,,692.0,43044.0,131.0,7567.0,63.0
2021-03-04,KS,295109.0,969651.0,,203.0,9355.0,59.0,2541.0,23.0
2021-03-04,KY,408440.0,,,645.0,19364.0,172.0,4020.0,91.0
2021-03-04,LA,432527.0,5222458.0,,554.0,,,,74.0
2021-03-04,MA,586310.0,4380031.0,,741.0,19713.0,168.0,,100.0
2021-03-04,MD,384765.0,3018120.0,,856.0,35304.0,216.0,,
2021-03-04,ME,45227.0,,,69.0,1549.0,23.0,,8.0
2021-03-04,MI,652589.0,,,890.0,,229.0,,102.0
2021-03-04,MI,652589.0,,,890.0,,229.0,,102.0
2021-03-04,MN,487374.0,3035998.0,,229.0,25896.0,59.0,5344.0,
2021-03-04,MO,479536.0,1868601.0,,999.0,,213.0,,136.0
2021-03-04,MP,144.0,17429.0,,,4.0,,,
2021-03-04,MS,296154.0,1459374.0,,448.0,9162.0,101.0,,62.0
2021-03-04,MT,100531.0,,,73.0,4608.0,14.0,,7.0
2021-03-04,NC,868056.0,,,1290.0,,326.0,,
2021-03-04,ND,100184.0,305598.0,,22.0,3875.0,3.0,567.0,
2021-03-04,NE,201973.0,768130.0,,151.0,6157.0,,,
2021-03-04,NH,76178.0,577245.0,,92.0,1127.0,,348.0,
2021-03-04,NJ,802669.0,10096351.0,,1900.0,64137.0,376.0,,214.0
2021-03-04,NM,186156.0,,,177.0,13215.0,,,
2021-03-04,NV,295069.0,1125254.0,,407.0,,97.0,,47.0
2021-03-04,NY,1657777.0,,,5177.0,,1043.0,,712.0
2021-03-04,OH,974480.0,,,1009.0,50695.0,270.0,7181.0,196.0
2021-03-04,OK,426641.0,3126761.0,3620.0,404.0,24103.0,118.0,,
2021-03-04,OR,156287.0,,,165.0,8682.0,37.0,,12.0
2021-03-04,PA,941439.0,3915271.0,,1628.0,,350.0,,177.0
2021-03-04,PA,941439.0,3915271.0,,1628.0,,350.0,,177.0
2021-03-04,PR,100867.0,305972.0,,171.0,,23.0,,19.0
2021-03-04,RI,127727.0,673128.0,,148.0,9002.0,23.0,,16.0
2021-03-04,SC,521563.0,4578250.0,,734.0,20542.0,180.0,,91.0
2021-03-04,SD,113065.0,312421.0,,87.0,6664.0,17.0,,10.0
2021-03-04,TN,779449.0,,,970.0,18779.0,258.0,,127.0
2021-03-04,TX,2671442.0,,,5263.0,,1599.0,,
2021-03-04,UT,372708.0,1549760.0,,247.0,14783.0,92.0,2331.0,
2021-03-04,VA,581408.0,,218.0,1352.0,24414.0,284.0,,184.0
2021-03-04,VI,2704.0,46007.0,113.0,,,,,
2021-03-04,VT,15686.0,318086.0,,27.0,,5.0,,
2021-03-04,WA,342236.0,,,461.0,19466.0,121.0,,61.0
2021-03-04,WI,619942.0,2639148.0,19.0,262.0,26330.0,67.0,2266.0,
2021-03-04,WI,619942.0,2639148.0,19.0,262.0,26330.0,67.0,2266.0,
2021-03-04,WV,132677.0,,,193.0,,57.0,,22.0
2021-03-04,WY,54685.0,181957.0,,23.0,1389.0,,,
2021-03-03,AK,56605.0,,,26.0,1285.0,,,2.0
2021-03-03,AL,497154.0,1915545.0,,559.0,45723.0,,2662.0,
2021-03-03,AR,323353.0,2455309.0,,397.0,14826.0,165.0,,91.0
2021-03-03,AS,0.0,2140.0,,,,,,
2021-03-03,AZ,819954.0,3022710.0,,1165.0,57697.0,381.0,,177.0
2021-03-03,CA,3484963.0,,,5110.0,,1403.0,,
2021-03-03,CO,431670.0,2183138.0,,389.0,23735.0,,,
2021-03-03,CT,283622.0,,,451.0,,,,
2021-03-03,DC,40818.0,,,177.0,,47.0,,23.0
2021-03-03,DE,87425.0,540964.0,,135.0,,17.0,,
2021-03-03,FL,1888725.0,9243230.0,8396.0,3596.0,81278.0,,,
2021-03-03,GA,1014542.0,,,2299.0,56369.0,,9186.0,
2021-03-03,GU,7745.0,111925.0,,4.0,,1.0,,1.0
2021-03-03,HI,28407.0,,,26.0,2226.0,7.0,,3.0
2021-03-03,HI,28407.0,,,26.0,2226.0,7.0,,3.0
2021-03-03,IA,280991.0,1038003.0,,191.0,,40.0,,11.0
2021-03-03,ID,171836.0,502595.0,,121.0,7131.0,32.0,1239.0,
2021-03-03,IL,1191520.0,,,1260.0,,275.0,,138.0
2021-03-03,IN,663511.0,2464082.0,,731.0,42955.0,131.0,7555.0,65.0
2021-03-03,KS,295109.0,969651.0,,203.0,9355.0,59.0,2541.0,23.0
2021-03-03,KY,407373.0,,,680.0,19304.0,175.0,4008.0,79.0
2021-03-03,LA,431771.0,5198424.0,,588.0,,,,78.0
2021-03-03,MA,584743.0,4371477.0,,755.0,19713.0,173.0,,109.0
2021-03-03,MD,383956.0,3012179.0,,863.0,35223.0,228.0,,
2021-03-03,ME,45091.0,,,67.0,1545.0,24.0,,8.0
2021-03-03,MI,650762.0,,,882.0,,234.0,,100.0
2021-03-03,MI,650762.0,,,882.0,,234.0,,100.0
2021-03-03,MN,486434.0,3021554.0,,243.0,25863.0,57.0,5340.0,
2021-03-03,MO,479069.0,1865013.0,,989.0,,213.0,,146.0
2021-03-03,MP,144.0,17429.0,,,4.0,,,
2021-03-03,MS,295675.0,1459374.0,,469.0,9162.0,120.0,,64.0
2021-03-03,MT,100351.0,,,67.0,4600.0,13.0,,7.0
2021-03-03,NC,865554.0,,,1303.0,,332.0,,
2021-03-03,ND,100067.0,305504.0,,20.0,3871.0,3.0,567.0,
2021-03-03,NE,201608.0,766781.0,,150.0,6147.0,,,
2021-03-03,NH,75990.0,575625.0,,89.0,1123.0,,347.0,
2021-03-03,NJ,799476.0,10096351.0,,1921.0,64050.0,403.0,,243.0
2021-03-03,NM,185898.0,,,195.0,13190.0,,,
2021-03-03,NV,294684.0,1122823.0,,440.0,,100.0,,53.0
2021-03-03,NY,1650184.0,,,5323.0,,1047.0,,735.0
2021-03-03,OH,972605.0,,,1081.0,50613.0,279.0,7174.0,195.0
2021-03-03,OK,425746.0,3116303.0,3021.0,427.0,24064.0,135.0,,
2021-03-03,OR,156037.0,,,184.0,8653.0,33.0,,11.0
2021-03-03,PA,938411.0,3906535.0,,1648.0,,357.0,,186.0
2021-03-03,PA,938411.0,3906535.0,,1648.0,,357.0,,186.0
2021-03-03,PR,100765.0,305972.0,,169.0,,33.0,,25.0
2021-03-03,RI,127285.0,671542.0,,147.0,8982.0,23.0,,14.0
2021-03-03,SC,519996.0,4558148.0,,706.0,20501.0,190.0,,86.0
2021-03-03,SD,112833.0,311512.0,,97.0,6654.0,16.0,,8.0
2021-03-03,TN,777935.0,,,1033.0,18742.0,259.0,,140.0
2021-03-03,TX,2663414.0,,,5508.0,,1713.0,,
2021-03-03,UT,372708.0,1545558.0,,247.0,14783.0,92.0,2331.0,
2021-03-03,VA,580108.0,,218.0,1352.0,24354.0,284.0,,184.0
2021-03-03,VI,2695.0,45841.0,107.0,,,,,
2021-03-03,VT,15487.0,317364.0,,24.0,,5.0,,
2021-03-03,WA,341441.0,,,467.0,19433.0,131.0,,64.0
2021-03-03,WI,619087.0,2634999.0,36.0,267.0,26279.0,69.0,2264.0,
2021-03-03,WI,619087.0,2634999.0,36.0,267.0,26279.0,69.0,2264.0,
2021-03-03,WV,132416.0,,,197.0,,60.0,,25.0
2021-03-03,WY,54616.0,181681.0,,24.0,1388.0,,,
2021-03-02,AK,56428.0,,,26.0,1286.0,,,6.0
2021-03-02,AL,494421.0,1908302.0,,631.0,45699.0,,2659.0,
2021-03-02,AR,322949.0,2448042.0,,416.0,14795.0,160.0,,80.0
2021-03-02,AS,0.0,2140.0,,,,,,
2021-03-02,AZ,818670.0,3007671.0,,1202.0,57591.0,385.0,,203.0
2021-03-02,CA,3481611.0,,,5302.0,,1452.0,,
2021-03-02,CO,430615.0,2178555.0,,395.0,23593.0,,,
2021-03-02,CT,283128.0,,,413.0,,,,
2021-03-02,DC,40767.0,,,177.0,,47.0,,29.0
2021-03-02,DE,87193.0,539891.0,,151.0,,18.0,,
2021-03-02,FL,1882865.0,9225981.0,8411.0,3674.0,80972.0,,,
2021-03-02,GA,1011807.0,,,2348.0,56251.0,,9158.0,
2021-03-02,GU,7742.0,111547.0,,4.0,,2.0,,1.0
2021-03-02,HI,28390.0,,,31.0,2226.0,6.0,,3.0
2021-03-02,HI,28390.0,,,31.0,2226.0,6.0,,3.0
2021-03-02,IA,280509.0,1036107.0,,209.0,,39.0,,11.0
2021-03-02,ID,171462.0,501356.0,,121.0,7111.0,32.0,1234.0,
2021-03-02,IL,1189416.0,,,1231.0,,281.0,,148.0
2021-03-02,IN,662750.0,2460279.0,,765.0,42862.0,123.0,7535.0,64.0
2021-03-02,KS,294302.0,964803.0,,165.0,9290.0,43.0,2521.0,16.0
2021-03-02,KY,406201.0,,,684.0,19234.0,178.0,3993.0,82.0
2021-03-02,LA,431271.0,5177425.0,,629.0,,,,89.0
2021-03-02,MA,582844.0,4362966.0,,775.0,19444.0,187.0,,116.0
2021-03-02,MD,383170.0,3006690.0,,896.0,35152.0,232.0,,
2021-03-02,ME,44944.0,,,69.0,1536.0,25.0,,8.0
2021-03-02,MI,649057.0,,,959.0,,228.0,,99.0
2021-03-02,MI,649057.0,,,959.0,,228.0,,99.0
2021-03-02,MN,485655.0,3017033.0,,243.0,25826.0,57.0,5329.0,
2021-03-02,MO,478682.0,1862141.0,,1025.0,,213.0,,141.0
2021-03-02,MP,143.0,17429.0,,,4.0,,,
2021-03-02,MS,295295.0,1459374.0,,457.0,9162.0,109.0,,69.0
2021-03-02,MT,100158.0,,,83.0,4591.0,20.0,,7.0
